,Unnamed: 0,Website,Website_Val,Github_Val,Project Title,Project Description,Githubusername,Githubproject,Owners
0,10,https://www.gitcoin.co,TRUE,TRUE,GPC Test Project,"This is a test project of GPC.  Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud ex...",NaN,NaN,0xc24e3C2e72f960fa1d54170Fa03492DDa4cE8256
1,23,https://twitter.com/stiamee,TRUE,TRUE,The Follow Black Hare,# An Open-Source Game to Popularize Web3\n\nFBH is an education project that makes sci-fi content about complexity of the modern world to make it more accessible and understandable for everyone. \...,H1na,stiame,0x7587Cfbd20E5A970209526b4D1f69dBAae8Bed37
2,38,https://twitter.com/bordumbb,TRUE,TRUE,Test Project,Radicle Grants test pool,NaN,NaN,0xcAa3a3c852442F06806170D137248bb21ddb0E1B
3,77,https://github.com/fat-garage/wordblock,TRUE,FALSE,word block - Your reference notebook,"*Keywords*: tools for thoughts, block reference, bi-directional link, semantic web, decentralized data storage, knowledge graph\n\n## Abstract/Summary\n\nWordblock is a web extension for *atomic n...",lg565245594,fat-garage,0x65a0Af703047dfDd270361659d02f4f0E8547202
4,235,https://gitcoin.co/grants/7785/orb,TRUE,FALSE,orb,"A decentralized social media app where the user has complete control over their identity, content, and monetization.",nileshrathore,orb-club,0xdA86780f3902EbE7A92204D939CF1e03009ecf18
5,246,https://twitter.com/zachxbt,TRUE,FALSE,ZachXBT,Over the past two years I have built up a pseudonymous identity shedding a light on all the wrong doing that goes on in the Crypto and NFT space. The topics I've researched range from insider trad...,NaN,NaN,0x9D727911B54C455B0071A7B682FcF4Bc444B5596
6,275,https://ss.com,TRUE,FALSE,asdf,asdf,NaN,NaN,0xc91d300D342eC4EBbC61B3AE75dc5D7245109dD9
7,285,https://xyz.xyz,TRUE,FALSE,xyz,hgghhh,NaN,NaN,0x9600e2eE6377DAdad7299B120026661c336A5e6d
8,286,https://bit.ly/bee-gitcoin,TRUE,FALSE,The Bees Marketing,The Bees is a marketing group that has 2 capabilities:\n\n1. To amplify content on Twitter by coordinating real humans to engage on Tweets.\n2. To grow knowledgeable community members for your pro...,NaN,NaN,0xB412E828714EeC764e8f5b20EfdB40E710A90D4B
9,299,https://tucultura.co/,TRUE,FALSE,FundaciÃ³n Tucultura,"FUNDACIÃ“N TUCULTURA fue creada en el aÃ±o 2009 en Colombia. Su eje fundamental es el trabajo por la conservaciÃ³n, preservaciÃ³n, fortalecimiento, innovaciÃ³n y proyecciÃ³n de la cultura y ambien...",NaN,NaN,0xd3F0F07E1C4068B9e80FD641599324f5a768F10B
10,300,https://dagora.xlog.app/dAgora---Never-Create-Alone--en,TRUE,FALSE,dAgora,"> ðŸ’¡ The process of creation no longer needs to be solitary, as you can now seek inspiration and interact with others. Online communities, akin to the agora of ancient Greece and the cafÃ©s of 1...",adazzzz,dAgora-playground,0x490eE9a3dfe5fa4c65A4A65B3fe178a3c12398a6
11,360,https://ki.bi,TRUE,FALSE,KiBi - Chinese Crypto Navigation Hub,"# KiBi - Chinese Crypto Navigation Hub\n\n[KiBi](https://Ki.Bi) (formerly known as coinbk.xyz), is a comprehensive, up-to-date cryptocurrency resource platform in China, dedicated to providing val...",UlyssesXC,NaN,0xf6a6A404FBF3EB7D21E4A78651A5C373F10097a6
12,363,https://www.testing.dev,TRUE,FALSE,Test,test,jesuloluwao,lolus-test,0x69f9e121702461eA52F627A6147ea3c6dc2DEF31
